country,iso2c,iso3c,year,SE.XPD.TOTL.GD.ZS
Uganda,UG,UGA,2023,2.55159378051758
Uganda,UG,UGA,2022,2.56105017662048
Uganda,UG,UGA,2021,2.63593602180481
Uganda,UG,UGA,2020,2.57222175598145
Uganda,UG,UGA,2019,2.30828070640564
Uganda,UG,UGA,2018,2.13052010536194
Uganda,UG,UGA,2017,2.25363993644714
Uganda,UG,UGA,2016,2.13789010047913
Uganda,UG,UGA,2015,2.32152009010315
Uganda,UG,UGA,2014,1.9147200584411601
Uganda,UG,UGA,2013,1.87114000320435
Uganda,UG,UGA,2012,1.79746997356415
Uganda,UG,UGA,2011,2.29890990257263
Uganda,UG,UGA,2010,1.72739994525909
Uganda,UG,UGA,2009,NA
Uganda,UG,UGA,2008,NA
Uganda,UG,UGA,2007,NA
Uganda,UG,UGA,2006,NA
Uganda,UG,UGA,2005,NA
Uganda,UG,UGA,2004,4.95237016677856
Uganda,UG,UGA,2003,NA
Uganda,UG,UGA,2002,NA
Uganda,UG,UGA,2001,NA
Uganda,UG,UGA,2000,2.461669921875
