country,iso2c,iso3c,year,IT.NET.BBND.P2
Uganda,UG,UGA,2023,0.091297
Uganda,UG,UGA,2022,0.0850849
Uganda,UG,UGA,2021,0.0838842
Uganda,UG,UGA,2020,0.0778188
Uganda,UG,UGA,2019,0.0752797
Uganda,UG,UGA,2018,NA
Uganda,UG,UGA,2017,NA
Uganda,UG,UGA,2016,0.237415
Uganda,UG,UGA,2015,0.215084
Uganda,UG,UGA,2014,0.151661
Uganda,UG,UGA,2013,0.117441
Uganda,UG,UGA,2012,0.111831
Uganda,UG,UGA,2011,0.106474
Uganda,UG,UGA,2010,0.0432221
Uganda,UG,UGA,2009,0.0190772
Uganda,UG,UGA,2008,0.0157108
Uganda,UG,UGA,2007,0.00627246
Uganda,UG,UGA,2006,0.00420226
Uganda,UG,UGA,2005,0.0030397
Uganda,UG,UGA,2004,NA
Uganda,UG,UGA,2003,NA
Uganda,UG,UGA,2002,NA
Uganda,UG,UGA,2001,NA
Uganda,UG,UGA,2000,NA
