country,iso2c,iso3c,year,TX.VAL.ICTG.ZS.UN
Uganda,UG,UGA,2023,NA
Uganda,UG,UGA,2022,NA
Uganda,UG,UGA,2021,NA
Uganda,UG,UGA,2020,0.15
Uganda,UG,UGA,2019,0.27
Uganda,UG,UGA,2018,0.38
Uganda,UG,UGA,2017,0.36
Uganda,UG,UGA,2016,1.02
Uganda,UG,UGA,2015,1.42
Uganda,UG,UGA,2014,0.67
Uganda,UG,UGA,2013,2.32
Uganda,UG,UGA,2012,6.55
Uganda,UG,UGA,2011,6.35
Uganda,UG,UGA,2010,5.65
Uganda,UG,UGA,2009,4.23
Uganda,UG,UGA,2008,4.49
Uganda,UG,UGA,2007,6.77
Uganda,UG,UGA,2006,5.74
Uganda,UG,UGA,2005,2.02
Uganda,UG,UGA,2004,0.99
Uganda,UG,UGA,2003,0.41
Uganda,UG,UGA,2002,0.48
Uganda,UG,UGA,2001,0.5
Uganda,UG,UGA,2000,0.12
