country,iso2c,iso3c,year,TM.VAL.ICTG.ZS.UN
Uganda,UG,UGA,2023,NA
Uganda,UG,UGA,2022,NA
Uganda,UG,UGA,2021,NA
Uganda,UG,UGA,2020,3.06
Uganda,UG,UGA,2019,3.48
Uganda,UG,UGA,2018,4.01
Uganda,UG,UGA,2017,4.07
Uganda,UG,UGA,2016,4.21
Uganda,UG,UGA,2015,5.24
Uganda,UG,UGA,2014,4.26
Uganda,UG,UGA,2013,5.39
Uganda,UG,UGA,2012,6.63
Uganda,UG,UGA,2011,7.82
Uganda,UG,UGA,2010,7.42
Uganda,UG,UGA,2009,7.49
Uganda,UG,UGA,2008,8.94
Uganda,UG,UGA,2007,9.18
Uganda,UG,UGA,2006,7.48
Uganda,UG,UGA,2005,7.54
Uganda,UG,UGA,2004,7.13
Uganda,UG,UGA,2003,6.44
Uganda,UG,UGA,2002,6.06
Uganda,UG,UGA,2001,8.27
Uganda,UG,UGA,2000,5.46
