country,iso2c,iso3c,year,IT.NET.USER.ZS
Uganda,UG,UGA,2023,15.3
Uganda,UG,UGA,2022,11.1
Uganda,UG,UGA,2021,10
Uganda,UG,UGA,2020,7.4
Uganda,UG,UGA,2019,NA
Uganda,UG,UGA,2018,NA
Uganda,UG,UGA,2017,NA
Uganda,UG,UGA,2016,5.9
Uganda,UG,UGA,2015,5.8
Uganda,UG,UGA,2014,5.4
Uganda,UG,UGA,2013,5.1
Uganda,UG,UGA,2012,4.8
Uganda,UG,UGA,2011,4.6
Uganda,UG,UGA,2010,4.3
Uganda,UG,UGA,2009,4.1
Uganda,UG,UGA,2008,3.88
Uganda,UG,UGA,2007,3.67
Uganda,UG,UGA,2006,2.53
Uganda,UG,UGA,2005,1.74
Uganda,UG,UGA,2004,0.72
Uganda,UG,UGA,2003,0.465
Uganda,UG,UGA,2002,0.384
Uganda,UG,UGA,2001,0.238
Uganda,UG,UGA,2000,0.164
